service,poi_types,choquet_capacity,contribution_coefficient
sport_and_movement,"['organised_sport_indoor', 'organized_sport_outdoor', 'informal_sport_indoor', 'informal_sport_outdoor']","[0.25, 0.3, 0.2, 0.25]","[30, 30, 10, 10]"
scenic_views,"['designed_aesthetic', 'managed_aesthetic', 'spontaneous_aesthetic', 'natural_aesthetic']","[0.2, 0.3, 0.2, 0.3]","[50, 30, 30, 10]"
quietness,"['deep_quietness', 'moderate_quietness', 'relative_quietness']","[0.45, 0.35, 0.2]","[50, 30, 10]"
cultural_activities,"['passive_consumption', 'mediated_experience', 'cultural_production']","[0.25, 0.35, 0.4]","[30, 50, 50]"
nature_contact,"['high_nature_immersion', 'accessible_nature', 'perceived_nature']","[0.35, 0.4, 0.25]","[50, 30, 10]"
eating_out,"['on_site_dining', 'takeaway_consumption']","[0.55, 0.45]","[80,50]"
food_access,"['general_food_retail', 'fresh_food_retail', 'nonfresh_food_retail']","[0.35, 0.4, 0.25]","[30, 50, 30]"
medicines_and_supplies,"['pharmaceutical_provision', 'specialized_medical_supply']","[0.6, 0.4]","[10, 30]"
impatient_and_rehabilitation,"['residential_healthcare', 'outpatient_therapeutic_care', 'therapeutic_wellness']","[0.35, 0.4, 0.25]","[80, 50, 80]"
diagnosis_and_prevention,"['primary_care', 'specialized_diagnostic_preventive', 'outpatient_clinical_services']","[0.4, 0.3, 0.3]","[30, 50, 50]"
emergency_services,"['hospital_emergency_care', 'mobile_emergency_services']","[0.6, 0.4]","[5, 10]"
care_services,"['residential_social_care', 'home_community_care', 'socioeducational_family_care', 'social_inclusion_reintegration']","[0.2, 0.3, 0.2, 0.3]","[50, 30, 50, 50]"
